name,source
Tantra,https://fusiontantra.com/blog-2/
Apparitional Experiences,http://www.futurescopes.com/paranormal-phenomena/apparitional-experience/1858/apparitional-experience-parapsychology
,http://publicparapsychology.blogspot.com/2009/12/apparitional-experiences-primer.html
Plant-based Baby,https://plantbasedjuniors.com/blog/
Nutrisystem diet,https://www.verywellfit.com/nutrisystem-weight-loss-program-review-3496192
,https://www.everydayhealth.com/diet-nutrition/nutrisystem-diet.aspx
,https://www.healthline.com/health/nutrisystem-diet
Reincarnation,http://realreincarnationstories.com/#sthash.FoigiswL.dpbs
Transformation Techniques,https://www.goodtherapy.org/learn-about-therapy/types/emotional-transformation-therapy
,https://trans4mind.com/transformation/transform.htm
Laughter therapy,https://laughtertherapy.com/publications/articles
Vaginal steaming,https://www.steamychick.com/Blog/ 
Juice fasting,https://www.juicefastingforlife.com/juicing-blog/ 
Ultrasound to Newborn,http://blog.pathwaystofamilywellness.org/pathways/ultrasound-7-reasons-your-developing-baby-says-its-not-safe-or-painless/#sthash.a4PExYys.dpbs 
Elemental diet,https://pearlnaturalhealth.com/blog/elemental-diet/
Macrobiotic diet,https://melaniewaxman.blogspot.com/ 
Spiritual Enhancement,https://effectindex.com/effects/spirituality-enhancement 
Bio-mechanical stimulation (BMS) massage,http://revitalion.com/en/baser/index.htm 
Group coaching,https://www.thecoachingtoolscompany.com/category/about-coaching/group-coaching/ 
Coin rubbing,https://stanfordmedicine25.stanford.edu/blog/archive/2016/skincoining.html 
Hirudotherapy,https://www.pharmaceutical-journal.com/publications/previous-issues/cp-june-2014/hirudotherapy-a-guide-to-using-leeches-to-drain-blood-from-tissue/11136626.article?firstPass=false 
Anticellulite Massage,https://www.lipotherapeia.com/cellulite-myths 
Mindfulness meditation,https://mindworks.org/blog/ 
Feldenkrais method,https://www.achievingexcellence.com/blogs/about-the-method/ 
Focusing,https://focusing.org/sixsteps 
Energy Practices,https://conscioustransformation.com/category/health/ 
Montignac diet,http://www.montignac.com/en/the-concept-behind-the-montignac-method/ 
Colon hydrotherapy,https://hippocratesinst.org/colon-hydrotherapy-2 
,https://www.mayoclinic.org/healthy-lifestyle/consumer-health/expert-answers/colon-cleansing/faq-20058435 
Electromagnetic therapy,https://www.oskawellness.com/blogs/blog/10-facts-about-pemf-machines-and-what-they-can-do-for-you 
,https://www.uofmhealth.org/health-library/aa141392spec 
,https://www.webmd.com/pain-management/magnetic-field-therapy-overview 
Liquid diet,https://www.webmd.com/diet/liquid-diets#1
,https://www.verywellhealth.com/what-you-can-eat-on-a-full-liquid-diet-2507157 
Kosher diet,https://www.myjewishlearning.com/article/kosher-dieting/ 
Cabbage soup diet,https://www.verywellfit.com/what-is-the-cabbage-soup-diet-3496214
,https://www.cabbage-soup-diet.com/cabbage-soup-blog/ 
Superhuman Agility,https://powerlisting.fandom.com/wiki/Supernatural_Agility 
DASH diet,https://health.usnews.com/best-diet/dash-diet
,https://www.healthline.com/nutrition/dash-diet 
Erickson Hypnosis,https://www.psychologytoday.com/us/blog/suffer-the-children/201112/reflections-milton-erickson
,https://www.naturalhypnosis.com/blog/what-is-ericksonian-hypnosis-and-how-is-it-used 
Myofascial release,https://health.usnews.com/wellness/articles/2018-03-19/should-you-try-myofascial-release-therapy
,https://www.mayoclinic.org/diseases-conditions/back-pain/expert-answers/myofascial-release/faq-20058136 
Vocal Yoga,https://vocalyoga.com/blog/ 
Thalassotherapy,https://www.francetoday.com/spa/history-benefits-french-thalassotherapy-break/
,http://europespa.eu/blog/what-is-thalassotherapy/ 
History,https://www.history.com/news 
Medical massage,https://www.mytime.com/guide/Massage/Glossary/Medical-Massage
,https://dreamclinic.com/massage-therapy/differences-spa-massage-medical-massage 
Iyengar yoga,https://www.yogajournal.com/yoga-101/types-of-yoga/iyengar 
Mega-vitamin therapy,https://www.dovemed.com/healthy-living/wellness-center/megavitamin-therapy-does-it-offer-any-benefits/
,https://www.yourcareeverywhere.com/article/krames/en/article/health-research/drugs-and-supplements/complementary-and-alternative-medicine/megavitamin-therapy.html 
Iridology,https://sciencebasedmedicine.org/iridology/
,https://www.quackwatch.org/01QuackeryRelatedTopics/confessions.html 
Mandella Effect,https://whatis.techtarget.com/definition/Mandela-effect
,http://theconversation.com/the-mandela-effect-and-how-your-mind-is-playing-tricks-on-you-89544
Celtic astrology,https://www.whats-your-sign.com/celtic-tree-astrology.html 
Neo-Reichian Massage,https://orgonomictherapy.com/about-us/reichian-therapy/ 
Clean eating,https://www.cleaneatingmag.com/clean-diet 
Colloidal silver therapy,https://www.mayoclinic.org/healthy-lifestyle/consumer-health/expert-answers/colloidal-silver/faq-20058061
,https://www.healthline.com/nutrition/colloidal-silver 
Stillman diet,https://www.stylecraze.com/articles/stillman-diet-the-what-the-how-and-the-why/#gref
,https://www.livestrong.com/article/83808-stillmans-diet/ 
Aquatic bodywork,https://www.davisenterprise.com/local-news/senior-tab-whats-a-watsu-benefits-of-aquatic-massage-therapy-extolled/
,http://professorpaul.com/aquatic.htm 
Cartomancy,https://www.streetdirectory.com/etoday/learning-cartomancy-uljluw.html
,https://www.psychics4today.com/fortune-telling-with-playing-cards/
Parenting,https://www.empoweringparents.com/articles/ 
Arabic and Unani Medicine,https://www.verywellhealth.com/the-lowdown-on-unani-medicine-90032
,https://www.medicalnewstoday.com/articles/323612.php 
Precognition,https://hplusmagazine.com/2010/11/04/precognition-real-cornell-university-lab-releases-powerful-new-evidence-human-mind-can/
,https://psychicgiant.com/5-signs-that-you-possess-the-gift-of-precognition/ 
Auriculotherapy,https://www.verywellhealth.com/the-benefits-of-ear-acupuncture-88711
,https://www.amcollege.edu/blog/auricular-acupuncture-benefits-for-healthy-heart 
Horoscopes,https://www.astrology.com/articles 
Traditional Chinese massage,https://www.massagetique.com/types/chinese-massage/
,https://www.livestrong.com/article/119168-chinese-massage/ 
Traditional Japanese medicine,https://kampo.ca/ 
Autogenic training,https://www.anxiety.org/autogenic-relaxation
